"filename", "language", "XML", "C#", "Markdown", "JavaScript", "ASP.NET Razor", "MS SQL", "JSON", "PostCSS", "comment", "blank", "total"
"d:\.net\start\Views\Home\_StoreListPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\.net\start\Views\Order\Order.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 219, 0, 0, 0, 0, 19, 238
"d:\.net\start\Views\Order\OrderConfirmed.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 152, 0, 0, 0, 1, 26, 179
"d:\.net\start\Views\Order\OrderFailed.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\.net\start\Views\Order\OrderHistory.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 192, 0, 0, 0, 3, 14, 209
"d:\.net\start\Views\Order\Track.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 249, 0, 0, 0, 0, 31, 280
"d:\.net\start\Views\Product\Product.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 163, 0, 0, 0, 0, 13, 176
"d:\.net\start\Views\Product\_ProductQuickViewPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\.net\start\Views\Shared\Error.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"d:\.net\start\Views\Shared\_AdminLayout.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 158, 0, 0, 0, 2, 32, 192
"d:\.net\start\Views\Shared\_CheckoutSteps.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"d:\.net\start\Views\Shared\_EmployeeLayout.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 47, 0, 0, 0, 2, 13, 62
"d:\.net\start\Views\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 531, 0, 0, 0, 2, 76, 609
"d:\.net\start\Views\Shared\_Layout.cshtml.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 38, 2, 9, 49
"d:\.net\start\Views\Shared\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\.net\start\Views\_ViewImports.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\.net\start\Views\_ViewStart.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\.net\start\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\.net\start\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 42
